messageId,userId,username,message,timestamp
605e5d1055c7578a5407e3c4,3,leachs22,hey guys!,15:44.1
605e5d2955c757ef0807e3c6,13,kabunbi,helloooo,16:09.8
605e5d3355c7570cd607e3c7,3,leachs22,ayyyy sam thanks for joining!,16:19.4
605e5d3a55c757242107e3c8,3,leachs22,how are you?,16:26.5
605e5d4455c757442d07e3c9,13,kabunbi,im good,16:36.1
605e5d5555c757ff2d07e3ca,3,leachs22,lmao htats what we like to hear,16:53.1
605e5d5e55c757389f07e3cb,3,leachs22,i gotta say this may be a hot take w u still,17:02.6
605e5d6255c75703c307e3cc,3,leachs22,but naruto > eren,17:06.6
605e5d6955c757f3b807e3cd,13,kabunbi,no naruto sux,17:13.7
605e5d6c55c7579a0907e3ce,13,kabunbi,hes so bad,17:16.7
605e5d7055c757b7de07e3cf,3,leachs22,:(,17:20.7
605e5d7455c757c43507e3d0,3,leachs22,That just is false good sir,17:24.7
605e5d7555c75761b907e3d1,13,kabunbi,worst protagonist of the all the big shonen,17:26.0
605e5d7955c7574afa07e3d2,3,leachs22,?????,17:29.2
605e5d7e55c75756a507e3d3,3,leachs22,that is incorrect,17:34.9
605e5d8055c7577bd007e3d4,13,kabunbi,hes so boring,17:37.0
605e5d8455c757080c07e3d5,13,kabunbi,his motivation is lame,17:40.7
605e5d8b55c757300c07e3d6,13,kabunbi,who cares about being the ninja president,17:47.8
605e5d8c55c757808d07e3d7,13,kabunbi,????,17:48.7
605e5d8e55c757466807e3d8,13,kabunbi,?????,17:50.1
605e5d9055c7571faf07e3d9,3,leachs22,lmao,17:52.5
605e5d9355c757690907e3da,3,leachs22,clearly he does,17:55.5
605e5d9655c757748d07e3db,3,leachs22,and hey he does it~,17:59.0
605e5d9855c75770dd07e3dc,3,leachs22,!*,18:00.5
605e5d9c55c75724a607e3dd,3,leachs22,idk what luffys done yet,18:04.4
605e5da255c7577bff07e3de,13,kabunbi,luffy is so based,18:10.2
605e5daa55c757dedd07e3df,3,leachs22,all ive seen is him getting stuck underwater while fighting the fish people,18:18.4
605e5daf55c757ff1a07e3e0,13,kabunbi,better than naruto in every way,18:23.1
605e5db155c75757a107e3e1,3,leachs22,lmao he is highkey based,18:25.5
605e5db155c757bba207e3e2,13,kabunbi,just wait on it king,18:25.8
605e5db855c757b73907e3e3,3,leachs22,ok i will give u luffy,18:32.0
605e5dbc55c757193607e3e4,3,leachs22,i like him more,18:36.1
605e5dc355c757d88507e3e5,13,kabunbi,am i allowed to swear here?,18:43.3
605e5dc655c7573d1c07e3e6,3,leachs22,but naruto is still p damn cool,18:47.0
605e5dca55c75717e607e3e7,3,leachs22,yea lol,18:50.3
605e5dd755c75709e007e3e8,13,kabunbi,yeah dude luffy is way more fucking based than naruto could ever be,19:03.8
605e5ddf55c757434907e3e9,13,kabunbi,King of the Pirates >>>>>>> Ninja President ,19:11.3
605e5de255c757808607e3ea,13,kabunbi,just a fact,19:14.1
605e5df055c7577fae07e3eb,3,leachs22,ok king of the pirates sounds more cool than ninja president ill give u that,19:28.2
605e5df555c7575dde07e3ec,3,leachs22,and zoro seems cooler than sasuke ,19:33.9
605e5dfc55c7572dc007e3ed,13,kabunbi,id say he is,19:40.2
605e5e0055c757fcb707e3ee,13,kabunbi,sasuke is v edgy,19:44.7
605e5e0355c7576e3c07e3ef,13,kabunbi,zoro is funny,19:47.4
605e5e0c55c757de7c07e3f0,13,kabunbi,zoro fights go wild,19:56.5
605e5e0e55c757186007e3f1,3,leachs22,thats v true,19:58.8
605e5e1f55c757ab7707e3f2,3,leachs22,honestly ive gotten to the point where i read up until the cool moments than i watch the anime,20:15.3
605e5e2755c757d87b07e3f3,13,kabunbi,wait i thought we had to talk about attack on titan,20:23.0
605e5e2755c757eb4e07e3f4,3,leachs22,i feel like thats the correct way to do it,20:23.2
605e5e3255c757629b07e3f5,3,leachs22,i mean its more a general discussion,20:34.2
605e5e3655c757b56907e3f6,13,kabunbi,no man reading manga is the way to go for me at this point,20:38.4
605e5e4155c7573cd207e3f7,3,leachs22,no more anime?,20:49.4
605e5e5c55c7575fbb07e3f8,13,kabunbi,i can read the usopp arc in like an hour and a half but thats like 15 episodes in the anime,21:16.1
605e5e6055c757ee7907e3f9,3,leachs22,the fact that manga is black and whtie kinda kills it for me im ngl,21:20.7
605e5e6555c757699f07e3fa,13,kabunbi,no ill still watch anime lol,21:25.5
605e5e6855c757b8ad07e3fb,13,kabunbi,anime slaps,21:28.5
605e5e6855c757129b07e3fc,3,leachs22,thats very true anime takes much longer,21:28.7
605e5e7455c757127f07e3fd,3,leachs22,anime >>>>>>,21:40.8
605e5e7a55c757ded207e3fe,13,kabunbi,but one piece is worth the read for me i think,21:46.7
605e5e7b55c757943f07e3ff,3,leachs22,animation is so sick,21:47.1
605e5e7f55c7577ef007e400,13,kabunbi,its that perfect a story,21:51.1
605e5e8655c757366b07e401,13,kabunbi,no animators go wild,21:58.1
605e5e8755c757778e07e402,3,leachs22,yea one piece is such a behemoth u gotta read it at ur own pace,21:59.7
605e5e8f55c757111f07e403,13,kabunbi,dude i just watched the promised neverland with my housemate,22:07.7
605e5e9655c7570c1b07e404,13,kabunbi,bc it ended yesterday,22:14.8
